StartDate,EndDate,ResponseID,age,city,race,race_other,gender,gender_other,enroll,drive,alcohol,cann5,cann9,sim,rx,text,speed,drowsy,seatbelt,rider_alcohol,rider_cann5,rider_cann9,rider_sim,rider_rx,rider_text,rider_speed,rider_drowsy,rider_seatbelt,DD,rideshare,walk,stayover,publictransit,bikes,other_altopt,dangeralc,dangercann5,dangercann9,dangersim,dangerrx,dangertext,dangerspeed,dangerdrowsy,dangerseatbelt,legalalc,legalcann5,legalcann9,legalsim,legalrx,legaltext,legalspeed,legaldrowsy,legalseatbelt,normsalc,normscann5,normscann9,normssim,normsrx,normstext,normsspeed,normsdrowsy,normsbelt,drivertrain,drivertrain_other,driveincome,negativedrive,negativedrive_text,ridingactivity,ridingact_text,skate,skatehelmet,electricskate,skatedestination,funskate,cityskate,skatepark,sundownskate,friendskate,skatealc,skatecann5,skatecann9,skatesim,skatetext,bike,bikehelmet,electricbike,bikedestination,funbike,citybike,bikepark,sundownbike,friendbike,bikealc,bikecann5,bikecann9,bikesim,biketext,scoot,scoothelmet,escoot,scootdestination,scootfun,cityscoot,scootpark,sundownscoot,friendscoot,alcscoot,cann5scoot,cann9scoot,simscoot,textscoot,negativeriding,negativeriding_text,cannabis1,cannabis2,cannabis3,cannabis4,cann_text,drowsy1,drowsy2,drowsy3,drowsy4,drowsy_text,aid,white,black,latine,asian,multirace,northafrican,me,pnarace,notlisted,genderbin,enrollbin,drivebin,alcoholbin,cann5bin,cann9bin,simbin,rxbin,textbin,speedbin,drowsybin,seatbeltbin,dangeralc_num,dangercann5_num,dangercann9_num,dangersim_num,dangerrx_num,dangertext_num,dangerspeed_num,dangerdrowsy_num,dangerseatbelt_num,riskalc_num,riskcann5_num,riskcann9_num,risksim_num,riskrx_num,risktext_num,riskspeed_num,riskdrowsy_num,riskseatbelt_num,normsalc_bin,normscann5_bin,normscann9_bin,normssim_bin,normsrx_bin,normstext_bin,normsspeed_bin,normsdrowsy_bin,normsbelt_bin
9/16/2025 2:22,9/16/2025 2:27,R_27vxRSj2AIBRAGy,20,Other,"Latine and/or Hispanic,Multiracial and/or Biracial",,Non-binary / third gender,,No,No,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Once,Once,More than twice,Once,Never,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Unsure,Very dangerous,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Very likely,Very unlikely,Very likely,Somewhat likely,Very likely,Once,More than twice,More than twice,Twice,Once,More than twice,More than twice,Once,More than twice,In person,,No,,,"Skateboarding/Longboarding,Horseback riding",,9,All,None,A Few,All,All,A Few,A Few,None,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,68c9c6af-6afa-22c1-f8ab-ad0f7078850c,0,0,1,0,1,0,0,0,0,,0,0,,,,,,,,,,5,5,5,5,5,5,5,3,5,4,4,4,4,5,1,5,4,5,1,1,1,1,1,1,1,1,1
9/16/2025 2:32,9/16/2025 2:34,R_2xCNQJuIz8ultf0,22,Cincinnati,Black and/or African American,,Male,,Yes,Yes,Once,Once,More than twice,More than twice,More than twice,Prefer not to answer,Prefer not to answer,Prefer not to answer,Once,More than twice,Prefer not to answer,More than twice,Never,Twice,Never,Twice,Twice,Once,More than twice,Twice,Twice,Never,Twice,Never,Once,Somewhat safe,Very dangerous,Unsure,Somewhat dangerous,Unsure,Very safe,Prefer not to answer,Very safe,Somewhat safe,Very likely,Prefer not to answer,Very likely,Very likely,Somewhat likely,Unsure,Unsure,Somewhat likely,Somewhat likely,Prefer not to answer,More than twice,Never,More than twice,Twice,More than twice,Prefer not to answer,Prefer not to answer,Twice,Online,,"Yes, for delivery (e.g., Amazon Flex, DoorDash, Instacart)",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9c909-cd2b-86cd-2660-8aad6a40825e,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,1,2,5,3,4,3,1,,1,2,5,,5,5,4,3,3,4,4,,1,0,1,1,1,,,1
9/16/2025 2:33,9/16/2025 2:38,R_1ImHurboExH0016,23,Other,White and/or European American,,Male,,No,Yes,Never,Never,Never,Never,Once,Twice,Once,Once,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,Never,Never,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Unsure,Unsure,Unsure,Somewhat dangerous,Very dangerous,Somewhat likely,Somewhat likely,Very likely,Very likely,Unsure,Somewhat unlikely,Unsure,Very unlikely,Somewhat unlikely,More than twice,Twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,Online,,No,Yes,Almost experienced a head on collision between two major intersections. Someone almost failed to stop at a stop sign and about t-boned oncoming traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9c950-cc83-daa9-2469-6864359430d6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,4,4,4,5,3,3,3,4,5,4,4,5,5,3,2,3,1,2,1,1,1,1,1,1,1,1,1
9/16/2025 2:49,9/16/2025 2:53,R_2dtpzAcWXOt8LCD,22,Other,White and/or European American,,Male,,Yes,Yes,More than twice,Once,Never,Once,Never,More than twice,More than twice,Twice,Never,More than twice,More than twice,Never,Once,Once,More than twice,More than twice,Once,Never,Once,More than twice,More than twice,More than twice,Never,Never,Never,Somewhat dangerous,Somewhat safe,Somewhat safe,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Very safe,Somewhat safe,Very dangerous,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Very likely,Somewhat likely,Somewhat likely,Very unlikely,Very unlikely,Very likely,Once,More than twice,Twice,Once,Once,More than twice,More than twice,More than twice,Once,In person,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9cd1d-6b38-7fcf-b9df-ddc7db35e8ff,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,4,2,2,4,4,4,1,2,5,4,2,2,5,4,4,1,1,5,1,1,1,1,1,1,1,1,1
9/16/2025 3:00,9/16/2025 3:09,R_1hQKphOw6aEgsUF,24,Cincinnati,Black and/or African American,,Male,,No,No,,,,,,,,,,Never,Never,Never,Never,Never,Never,More than twice,More than twice,More than twice,More than twice,Never,Never,Once,Never,Never,Never,Very dangerous,Somewhat safe,Somewhat safe,Very dangerous,Somewhat dangerous,Somewhat dangerous,Unsure,Somewhat safe,Very dangerous,Very likely,Somewhat likely,Unsure,Very likely,Very likely,Somewhat unlikely,Very likely,Unsure,Very likely,Once,Once,Once,Never,Never,More than twice,More than twice,More than twice,More than twice,In person,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,If you want to seriously stop people from driving impaired is to have extra police patrol traffic,,,,,,68c9cf96-6471-b946-93f4-80c466198fba,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,2,2,5,4,4,3,2,5,5,4,3,5,5,2,5,3,5,1,1,1,0,0,1,1,1,1
9/16/2025 3:22,9/16/2025 3:27,R_1ISg80JdFk9b5tx,19,Cincinnati,White and/or European American,,Female,,No,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,More than twice,Never,Twice,Never,Never,Never,More than twice,More than twice,Never,More than twice,More than twice,Never,More than twice,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Unsure,Unsure,Unsure,Unsure,Unsure,Somewhat likely,Very likely,Unsure,Somewhat unlikely,More than twice,Never,Once,Once,Once,More than twice,More than twice,Never,More than twice,Online,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68c9d4e3-b688-4d6a-7188-f897cf448d51,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,5,3,2,1,0,1,1,1,1,1,0,1
9/17/2025 12:20,9/17/2025 12:24,R_SVN2lORqszqjSW5,18,Other,White and/or European American,,Female,,No,Yes,More than twice,Once,Twice,More than twice,Never,Once,More than twice,Once,Once,Prefer not to answer,Prefer not to answer,More than twice,Twice,Twice,Prefer not to answer,Prefer not to answer,More than twice,Twice,More than twice,More than twice,More than twice,Prefer not to answer,Once,Never,Twice,Somewhat dangerous,Somewhat safe,Somewhat dangerous,Somewhat dangerous,Very dangerous,Prefer not to answer,Somewhat dangerous,Unsure,Very dangerous,Prefer not to answer,Very likely,Somewhat likely,Unsure,Unsure,Very unlikely,Somewhat unlikely,Very unlikely,Very unlikely,More than twice,Once,Twice,Twice,Twice,Never,Prefer not to answer,Once,Prefer not to answer,In person,,"Yes, other type of paid driving",Prefer not to answer,,Bicycling (street and BMX),,,,,,,,,,,,,,,,1,A Few,Prefer not to answer,Prefer not to answer,A Few,Half,None,Prefer not to answer,A Few,Twice,Once,Once,Once,,,,,,,,,,,,,,,,Yes,A lot,,,,,,,,,,,68ca52ea-14a6-d81a-9601-82c871cfcf38,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,4,2,4,4,5,,4,3,5,,5,4,3,3,1,2,1,1,1,1,1,1,1,0,,1,
9/17/2025 12:21,9/17/2025 12:28,R_d52bsM7UKjgzLs5,22,Other,White and/or European American,,Female,,No,Yes,More than twice,Never,Never,Never,More than twice,More than twice,More than twice,More than twice,Never,More than twice,Once,Twice,Once,Once,More than twice,More than twice,More than twice,Never,More than twice,Never,More than twice,Never,Never,Never,Never,Somewhat safe,Somewhat safe,Very safe,Unsure,Unsure,Somewhat dangerous,Somewhat dangerous,Somewhat safe,Very dangerous,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat likely,Very unlikely,Very unlikely,More than twice,More than twice,More than twice,Never,Never,More than twice,More than twice,More than twice,More than twice,Online,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68ca5339-5f26-6b82-d88a-5cc9837fe388,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,2,2,1,3,3,4,4,2,5,1,1,1,2,1,2,4,1,1,1,1,1,0,0,1,1,1,1
9/17/2025 12:26,9/17/2025 12:30,R_1JWqQhtmnKDqJjV,20,Cleveland,White and/or European American,,Male,,Yes,Yes,Never,Never,Never,Never,Never,Never,Twice,Once,Never,Never,Never,Never,Never,Never,Never,Twice,Twice,Never,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Unsure,Somewhat safe,Somewhat dangerous,Very likely,Very likely,Very likely,Very likely,Somewhat likely,Somewhat likely,Somewhat likely,Unsure,Unsure,Twice,Twice,Once,Once,Once,More than twice,More than twice,Once,Once,Online,,No,No,,"Skateboarding/Longboarding,Bicycling (street and BMX)",,2,None,None,None,All,All,None,None,None,Never,Never,Never,Never,,3,None,None,None,All,All,None,A Few,None,Never,Never,Never,Never,,,,,,,,,,,,,,,,No,,,,,,,,,,,,68ca5469-ef23-4c62-6262-6358d5649864,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,5,5,5,5,5,5,3,2,4,5,5,5,5,4,4,4,3,3,1,1,1,1,1,1,1,1,1
9/17/2025 12:45,9/17/2025 12:49,R_1dMOV8pJTSGHV5b,22,Cleveland,Latine and/or Hispanic,,Male,,No,No,,,,,,,,,,Never,Once,Never,Once,Twice,More than twice,Twice,More than twice,More than twice,Never,More than twice,More than twice,Once,Never,Never,Never,Very dangerous,Somewhat dangerous,Unsure,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat likely,Somewhat unlikely,Very unlikely,Unsure,Very likely,Somewhat unlikely,Somewhat unlikely,Very unlikely,Very unlikely,More than twice,Twice,Twice,More than twice,Twice,More than twice,More than twice,More than twice,More than twice,In person,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68ca58a9-0b53-d8d0-2c86-93cc476ae580,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,4,3,5,5,4,4,4,4,4,2,1,3,5,2,2,1,1,1,1,1,1,1,1,1,1,1
9/17/2025 10:44,9/17/2025 10:49,R_3KPhRV9Tv5OBtd6,20,Other,White and/or European American,,Male,,Yes,Yes,Never,Prefer not to answer,Never,Never,Never,More than twice,Never,More than twice,More than twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,Never,More than twice,Once,Never,Never,Never,Somewhat dangerous,Very safe,Somewhat safe,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat safe,Unsure,Somewhat dangerous,Somewhat unlikely,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat likely,Very likely,Very unlikely,Somewhat unlikely,Once,More than twice,More than twice,Once,Twice,More than twice,More than twice,More than twice,More than twice,Online,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,3,,2,1,3,4,,68cb8dd5-6bc7-37db-d9c3-f7db7d316d1e,1,0,0,0,0,0,0,0,0,0,1,1,0,,0,0,0,1,0,1,1,4,1,2,5,5,4,2,3,4,2,1,1,1,2,4,5,1,2,1,1,1,1,1,1,1,1,1
9/17/2025 10:58,9/17/2025 11:09,R_1nPKDr5CRY8jhLz,21,Other,White and/or European American,,Female,,No,No,,,,,,,,,,Never,Never,Never,Never,Never,More than twice,More than twice,More than twice,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Unsure,Unsure,Somewhat dangerous,Very likely,Very likely,Very likely,Very likely,Very likely,Somewhat unlikely,Somewhat unlikely,Unsure,Somewhat unlikely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,Other,I don't and have never had a license ,No,,,"Skateboarding/Longboarding,Bicycling (street and BMX),Scootering",,23,None,None,Half,Half,A Few,None,A Few,None,Never,Never,Never,Never,,30,None,None,Half,Half,A Few,None,A Few,None,Never,Never,Never,Never,,5,None,A Few,None,All,Half,None,None,All,Never,Never,Never,Never,,No,,1,2,3,4,,2,4,3,1,,68cb90fd-716e-1169-ff4e-8f213e230ea1,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,4,5,5,5,5,4,3,3,4,5,5,5,5,5,2,2,3,2,1,1,1,1,1,1,1,1,1
